Item ID,Short Title,Title,Year,Period,Vegetated strip description info,Nation,Study country,Study location,Latitude,Longitude,Outcomes
20642433,Udawatta (2008),Agroforestry and grass buffer effects on pore characteristics measured by high-resolution x-ray computed tomography,2008,2005-2009,agroforestry buffer;grass buffer,USA,"Missouri, USA","University of Missouri-Greenley Memorial Research Center (40 01′ N, 92 11′ W), Novelty",39.989689,-92.18399,Soil Physical
20642435,Udawatta (2010),Agroforestry and grass buffer effects on water quality in grazed pastures,2010,2010-2014,agroforestry buffer;grass buffer,USA,"Missouri, USA","Horticulture and Agroforestry Research Center, New Franklin (39 02N, 92 46W 195m)",39.03337,-92.766644,Soil Chemistry;Soil Physical;Soil Physical
20642437,Udawatta (2002),"Agroforestry practices, runoff, and nutrient loss: A paired watershed comparison",2002,2000-2004,contour strip;agroforestry strip,USA,"Missouri, USA","University of Missouri-Greenley Memorial Research Center in Knox County, (40 01N, 92 11W)",40.205553,-92.223413,Soil Chemistry;Soil Chemistry;Soil Physical;Soil Physical
20642448,Veum (2011),"Assessment of soil organic carbon and total nitrogen under conservation management practices in the Central Claypan Region, Missouri, USA",2011,2010-2014,agroforestry vegetated filter strip;grass vegetated filter strip,USA,"Missouri, USA","Greenley Memorial Research Center Knox County (40 01′N, 92 11′W) in Major Land Resource Area 113, the Central Claypan Area",40.016595,-92.183376,Soil Chemistry;Soil Physical
20642461,Walker (2007),"The conservation of arable plants on cereal field margins: An assessment of new agri-environment scheme options in England, UK",2007,2005-2009,field margin,UK,UK,UK,52.831319,-1.770154,Biodiversity;Soil Chemistry;Soil Chemistry
20642464,Walter (2003),The effect of hedgerows on soil organic carbon storage in hillslopes,2003,2000-2004,hedgerow,France,France,"Brittany (48 01-48 40 N, 1 07-3 11 W)",48.510786,-3.326367,Soil Chemistry;Soil Chemistry;Soil Physical
20642496,Winkler (2010),Assessing risks and benefits of floral supplements in conservation biological control,2010,2010-2014,flowering margin;grass strip,The Netherlands,The Netherlands,"Wageningen Hoog, Achterberg",51.969452,5.665583,Human Use
20642506,Wuczynski (2014),"Applying red lists to the evaluation of agricultural habitat: regular occurrence of threatened birds, vascular plants, and bryophytes in field margins of Poland",2014,2010-2014,field margin,Poland,Poland,Southwest Poland,50.47527,18.025939,Biodiversity
20642512,Yahner (1982),AVIAN USE OF VERTICAL STRATA AND PLANTINGS IN FARMSTEAD SHELTERBELTS,1982,1980-1984,shelterbelt,USA,"Minnesota, USA","Rosemount Agricultural Experiment Station, Dakota County",44.727538,-93.098556,Biodiversity
20642515,Yahner (1984),Avian use of nest boxes in Minnesota farmstead shelterbelts,1984,1980-1984,shelterbelt,USA,"Minnesota, USA","Rosemount Agricultural Experiment Station, Dakota County",44.727538,-93.098556,Biodiversity
20642528,Zaimes (2011),"Do Randomly Placed Riparian Conservation Land-Uses Improve Stream Water Quality in Iowa, USA?",2011,2010-2014,riparian buffer;grass filter,USA,"Iowa, USA","central, northeastern, and southeastern Iowa",41.880347,-93.0953,Soil Chemistry;Soil Physical
20642529,Zaimes (2012),Assessing Riparian Conservation Land Management Practice Impacts on Gully Erosion in Iowa,2012,2010-2014,riparian forest buffer;grass filter,USA,"Iowa, USA","Central, northeastern and southeastern Iowa",41.880347,-93.0953,Soil Physical;Soil Physical
20642541,Zuazo (2008),Benefits of plant strips for sustainable mountain agriculture,2008,2005-2009,plant strip,Spain,Spain,"Lanjarón, Sierra Nevada (36 54 14.66 N, 3 29 11.89 E)",36.918775,-3.479504,Soil Chemistry;Soil Chemistry;Soil Physical;Soil Chemistry;Soil Physical;Human Use;Human Use;Human Use
21567789,Adhikari (2014),"Soil Thermal Properties under Prairies, Conservation Buffers, and Corn-Soybean Land Use Systems",2014,2010-2014,grass buffer,USA,"Missouri, USA",Central and northern Missouri (40.02 N -92.18 E),40.02,-92.18,Soil Chemistry;Soil Physical;Soil Physical
21567798,Aguiar (2015),Nutrient removal effectiveness by riparian buffer zones in rural temperate watersheds: The impact of no-till crops practices,2015,2015-2016,riparian buffer,Brazil,"Paraná, Brazil","Cará-Cará, Ponta Grossa",-25.158801,-50.121517,Soil Chemistry;Soil Chemistry;Soil Chemistry
21567802,Alain (2006),Factors driving small rodents assemblages from field boundaries in agricultural landscapes of western France,2006,2005-2009,hedge;grassy bank,France,France,"Mont Saint-Michel Bay, Brittany (48 36 N, 1 32 W)",48.6,-1.533333,Biodiversity
21567808,Altewischer (2015),Habitat preferences of male Corn Buntings Emberiza calandra in north-eastern Germany,2015,2015-2016,field boundary;unploughed strip,Germany,Germany,"Greifswald, Western-Pomerania",54.086546,13.392341,Biodiversity
21567815,Al-wadaey (2012),Effectiveness of Grass Filters in Reducing Phosphorus and Sediment Runoff,2012,2010-2014,grass filter,USA,"Nebraska, USA","University of Nebraska Agricultural Research and Development Center (4110′34′′ N, 9625′51′′ W)",41.176111,-96.430833,Soil Chemistry;Soil Physical
21567819,Amy (2015),Hedgerow rejuvenation management affects invertebrate communities through changes to habitat structure,2015,2015-2016,hedgerow,UK,UK,"East and southeast England (New-bottle Estate (NE; Buckinghamshire), Utcoate Grange (UG; Bedfordshire), Monks Wood (MW; Cambridgeshire) and Wimpole Hall (WH; Cambridgeshire))",52.27248,0.117509,Biodiversity
21567825,Anderson (2013),The influence of conservation field margins in intensively managed grazing land on communities of five arthropod trophic groups,2013,2010-2014,field margin,Ireland,Ireland,"Teagasc Research Centre, Johnstown Castle, Co. Wexford (52 17 N, 6 30 W)",52.28333,-6.5,Biodiversity
21567826,Anderson (2009),Soil water content and infiltration in agroforestry buffer strips,2009,2005-2009,agroforestry buffer strip;grassed water way,USA,"Missouri, USA","University of Missouri Greenley Memorial Research Center in KnoxCounty, Missouri",39.989689,-92.18399,Soil Physical
21567833,Anjum-Zubair (2010),Influence of within-field position and adjoining habitat on carabid beetle assemblages in winter wheat,2010,2010-2014,sown wildflower area;grassy margin,Switzerland,Switzerland,"Between Solothurn and Bern (46.9058 to 47.1940 N, 7.3793 to 7.5650 E)",47.0499,7.47215,Biodiversity
21567839,Arango (2008),Land use influences the spatiotemporal controls on nitrification and denitrification in headwater streams,2008,2005-2009,riparian buffer,USA,"Michigan, USA","Kalamazoo River catchment, southwestern Michigan",42.621185,-86.083371,Soil Chemistry;Soil Chemistry;Soil Chemistry;Soil Chemistry;Soil Physical
21567840,Arnold (2004),Runoff from tomato cultivation in the estuarine environment: biological effects of farm management practices,2004,2000-2004,forested buffer zone,USA,"Virginia, USA","Hopeland Farm, Accomack County",37.706332,-75.806908,Pollution
21567841,Arnold (1983),"The influence of ditch and hedgerow structure, length of hedgerows, and area of woodland and garden on bird numbers on farmland",1983,1980-1984,hedgerow,UK,UK,Cambridgeshire,52.360816,0.032128,Biodiversity
21567842,Arora (2003),Effectiveness of vegetated buffer strips in reducing pesticide transport in simulated runoff,2003,2000-2004,vegetated buffer strip,USA,"Iowa, USA",Swine Nutrition Farm of Iowa State University,42.026619,-93.646465,Soil Physical;Soil Physical;Pollution
21567843,Arora (1996),Herbicide retention by vegetative buffer strips from runoff under natural rainfall,1996,1995-1999,vegetative buffer strip,USA,"Iowa, USA",Swine Nutrition Center of Iowa State University,42.026619,-93.646465,Soil Physical;Pollution
21567845,Aschwanden (2007),Importance of ecological compensation areas for small mammals in intensively farmed areas,2007,2005-2009,wildflower strip;herbaceous strip,Switzerland,Switzerland,"Wauwil (47 10 N, 8 2 E)",47.158358,8.035403,Biodiversity
21567847,Asteraki (1995),"THE INFLUENCE OF DIFFERENT TYPES OF GRASSLAND FIELD MARGIN ON CARABID BEETLE (COLEOPTERA, CARABIDAE) COMMUNITIES",1995,1995-1999,hedgerow,UK,UK,"IGER in North Wyke, Devon",50.769492,-3.901305,Biodiversity
21567848,Asteraki (2004),Factors influencing the plant and invertebrate diversity of arable field margins,2004,2000-2004,field margin,UK,UK,"Royal Agricultural College Harnhill Manor Farm, Cirencester",51.709324,-1.994646,Biodiversity
21567850,Atakan (2010),"Influence of weedy field margins on abundance patterns of the predatory bugs Orius spp. and their prey, the western flower thrips (Frankliniella occidentalis), on faba bean",2010,2010-2014,weedy field margin,Turkey,Turkey,"Çukurova (37 1.809 N, 35 21.694 E)",37.03015,35.361567,Biodiversity
21567858,Aviron (2011),"Effects of Wildflower Strip Quality, Quantity, and Connectivity on Butterfly Diversity in a Swiss Arable Landscape",2011,2010-2014,wildflower strip,Switzerland,Switzerland,"Eglisau (47 35 30, N 8 32 E)",47.576222,8.521981,Biodiversity
21567866,Backman (2002),Habitat quality of field margins in a Finnish farmland area for bumblebees (Hymenoptera: Bombus and Psithyrus),2002,2000-2004,field margin,Finland,Finland,"Lammi (61 05 N, 25 00 E)",61.083333,25,Biodiversity
21567869,Badenhausser (2012),Sown grass strip—A stable habitat for grasshoppers (Orthoptera: Acrididae) in dynamic agricultural landscapes,2012,2010-2014,sown grass strip,France,France,"Villefollet (46.11 N, 0.28 W)",46.11,0.28,Biodiversity
21567870,Badenhausser (2015),Enhancing grasshopper (Orthoptera: Acrididae) communities in sown margin strips: the role of plant diversity and identity,2015,2015-2016,sown margin strip,France,France,"Ville follet (46.11 N, 0.28 W)",46.11,0.28,Biodiversity
21567873,Bahlai (2010),Modeling distribution and abundance of soybean aphid in soybean fields using measurements from the surrounding landscape,2010,2010-2014,hedgerow,Canada,"Ontario, Canada",Southwestern Ontario,50.299476,-90.484075,Biodiversity;Human Use
21567875,Baines (1998),The effects of arable field margin management on the abundance and species richness of Araneae (spiders),1998,1995-1999,field margin,UK,UK,"University of Oxford farm, Whytham",51.783579,-1.316406,Biodiversity
21567876,Baker (2012),Landscape-scale responses of birds to agri-environment management: a test of the English Environmental Stewardship scheme,2012,2010-2014,field margin;hedgerow,UK,UK,England (national surveys),52.355518,-1.17432,Biodiversity
21567880,Balent (1992),MODELING BIRD COMMUNITIES LANDSCAPE PATTERNS RELATIONSHIPS IN A RURAL AREA OF SOUTH-WESTERN FRANCE,1992,1990-1994,hedgerow,France,France,"Coteaux de Gascogne, Aurignac",43.250863,0.61145,Biodiversity
21567881,Balestrini (2011),"Nitrogen removal in subsurface water by narrow buffer strips in the intensive farming landscape of the Po River watershed, Italy",2011,2010-2014,buffer strip,Italy,Italy,"Two riparian sites were located in a flat agricultural watershed of the alluvial plain of the River Po. Bedollo (44 51' 1.84"" N, 10 47' 24.01"" E) and Linarola (44 53' 4.46"" N, 10 46' 31.71"" E), Po River Valley",44.86667,10.783333,Soil Chemistry;Soil Chemistry
21567890,Barthel (1996),"Significance of field margins for foliage-dwelling spiders (Arachnida, Araneae) in an agricultural landscape of Germany",1996,1995-1999,field margin,Germany,Germany,"Southern Germany (Fernhag, Freinhausen, Großenviecht, Ilmried, Lichthausen, Mittermarbach, Scheyern)",48.44063,11.526866,Biodiversity
21567894,Bassa (2011),Effects of farming management and landscape heterogeneity on plant species composition of Mediterranean field boundaries,2011,2010-2014,field boundary,Spain,Spain,"North of Barcelona (41 24-42 05 N, 1 05-2 05 E)",41.756131,1.582404,Biodiversity
21567896,Bassa (2012),Factors affecting plant species richness in field boundaries in the Mediterranean region,2012,2010-2014,field boundary,Spain,Spain,"North west of Barcelona (41 24-42 05 N, 1 05-2 05 E)",41.756131,1.582404,Biodiversity
21567897,Batary (2010),Landscape-moderated importance of hedges in conserving farmland bird diversity of organic vs. conventional croplands and grasslands,2010,2010-2014,hedge,Germany,Germany,"Göttingen, Lower Saxony",51.54128,9.915804,Biodiversity
21567901,Baverstock (2008),Effect of seasonal abiotic conditions and field margin habitat on the activity of Pandora neoaphidis inoculum on soil,2008,2005-2009,field margin,UK,UK,"Delafield, Rothamsted Research, Hertfordshire",51.809376,-0.35617,Human Use
21567909,Beckmann (2001),Influence of habitat on distribution and abundance of the eastern woodrat in Kansas,2001,2000-2004,shelterbelt;riparian woodland,USA,"Kansas, USA","Smith, Osborne and Russell Counties, north-central Kansas",39.405116,-98.748117,Biodiversity
21567912,Bell (2002),Manipulating the abundance of Lepthyphantes tenuis (Araneae: Linyphiidae) by field margin management,2002,2000-2004,field margin,UK,UK,"Univeristy of Oxford's Wytham Farm, Wytham (SP 472097)",51.783579,-1.316406,Biodiversity
21567915,Bellet (2013),"From cultural to supporting ecosystem services, the value of shelterbelts to prairie agriculture, Canada",2013,2010-2014,shelterbelt,Canada,"Manitoba, Canada","Stanley, Manitoba",49.121025,-98.112194,Soil Chemistry;Soil Physical;Soil Physical;Pollution
21567916,Beltramo (2006),"Spiders of soybean crops in Santa Fe Province, Argentina: Influence of surrounding spontaneous vegetation on lot colonization",2006,2005-2009,crop margin,Argentina,Argentina,"Castellanos Department, Santa Fe",-30.974859,-61.513604,Biodiversity
21567918,Bence (2003),Habitat characteristics of harvest mouse nests on arable farmland,2003,2000-2004,field margin;beetlebank,UK,UK,"Loddington, Leicestershire",52.614821,-0.830662,Biodiversity
21567923,Bereswill (2012),Entry and toxicity of organic pesticides and copper in vineyard streams: Erosion rills jeopardise the efficiency of riparian buffer strips,2012,2010-2014,riparian buffer strip,Germany,Germany,"Neustadt region, Palatinate vineyard region",51.074666,13.774113,Pollution
21567929,Besnard (2014),Hedgerows diminish the value of meadows for grassland birds: Potential conflicts for agri-environment schemes,2014,2010-2014,hedgerow,France,France,"Loire valley, Western France",47.392181,0.060249,Biodiversity
21567931,Bharati (2002),"Soil-water infiltration under crops, pasture, and established riparian buffer in Midwestern USA",2002,2000-2004,multispecies riparian buffer,USA,"Iowa, USA","Near Creek, Story County (42 11 N, 93 30 W)",42.182677,-93.501316,Soil Physical;Soil Physical
21567939,Bianchi (2008),Effects of flower attractiveness and nectar availability in field margins on biological control by parasitoids,2008,2005-2009,flower strip,Switzerland,Switzerland,"Haeflinger, Herzogenbuchsee",47.187293,7.699741,Biodiversity;Human Use
21567952,Birkhofer (2014),Grassy margins along organically managed cereal fields foster trait diversity and taxonomic distinctness of arthropod communities,2014,2010-2014,grassy margin,Germany,Germany,"Northeim, Lower Saxony",51.700178,9.995906,Biodiversity
21567958,Blagodatskii (2008),Microbial biomass and growth kinetics of microorganisms in chernozem soils under different land use modes,2008,2005-2009,shelterbelt,Russia,"Central district, Russia","Dokuchaev Research Institute of Agriculture, Kemannaya Step",51.675497,39.208882,Soil Chemistry;Pollution
21567962,Blake (2011),Enhancing habitat to help the plight of the bumblebee,2011,2010-2014,grass buffer strip,UK,UK,Southern England,51.478152,-1.247008,Biodiversity
21567964,Blake (2011),Novel margin management to enhance Auchenorrhyncha biodiversity in intensive grasslands,2011,2010-2014,field margin,UK,UK,"Bickenhall (50 58 47 N, 2 59 29 W) and South Hill (50 57 40 N, 3 02 53 W) in Somerset, and Heywoods (50 48 38 N, 3 55 40 W) and North Wyke (50 46 14 N, 3 55 46 W) in Devon",50.921121,-3.297387,Biodiversity
21567965,Blake (2011),New tools to boost butterfly habitat quality in existing grass buffer strips,2011,2010-2014,grass buffer strip,UK,UK,"Aborfield (51 23 39 N, 0 55 08 W) and North Sydmonton (51 21 31 N, 1 17 21 W), Berkshire",51.372356,-1.106268,Biodiversity
21567966,Blake (2013),Novel management to enhance spider biodiversity in existing grass buffer strips,2013,2010-2014,buffer strip,UK,UK,"Two farms in Berkshire (Aborfield, 51 23 39 N, 0 55 08 W; North Sydmonton, 51 21 31 N, 1 17 21 W) and one farm in Hampshire (Ramsdell, 51 17 29 N, 1 08 16 W)",51.270995,-1.282749,Biodiversity
21567969,Blanco-Canqui (2004),"Grass barrier and vegetative filter strip effectiveness in reducing runoff, sediment, nitrogen, and phosphorus loss",2004,2000-2004,grass barrier;vegetated filter strip,USA,"Missouri, USA","University of Missouri's Bradford Centre, Columbia, Missouri",38.892938,-92.200954,Soil Chemistry;Soil Chemistry;Soil Physical;Soil Physical
21567970,Blanco-Canqui (2014),Soil Carbon Accumulation under Switchgrass Barriers,2014,2010-2014,switchgrass barrier,USA,"Nebraska, USA","University of Nebraska’s Rogers Memorial Farm, Lincoln, Nebraska",40.825763,-96.685198,Soil Chemistry;Soil Physical
21567973,Blattel (2009),Ground Water Nitrogen Dynamics in Giant Cane and Forest Riparian Buffers,2009,2005-2009,riparian buffer,USA,"Illinois, USA","Big Creek (37 24 37 N, 89 9 15 W), Cypress Creek (37 24 57 N, 89 4 58 W), Cache River (37 16 29 N, 89 10 26 W), Illinois",37.262408,-89.136225,Soil Chemistry;Soil Chemistry;Soil Physical
21567975,Blomqvist (2009),No improvement of plant biodiversity in ditch banks after a decade of agri-environment schemes,2009,2005-2009,ditch bank,The Netherlands,Netherlands,"Western Peat District (51 51-52 07 N, 4 45-5 08 E)",51.989708,4.933146,Biodiversity
21567976,Blundell (1974),Evaporation to leeward of a shelterbelt,1974,1970-1974,shelterbelt,UK,UK,"Stockbridge House EHS, Cawood, Yorkshire",53.824829,-1.150522,Soil Physical
21567984,Bodah (2013),Effective suspended sediment and soluble nutrient load mitigation in irrigated agricultural return flows through the use of vegetative filter strips,2013,2010-2014,vegetative filter strip,USA,"Washington, USA","Yakima River Basin, Washington",46.252913,-119.230849,Soil Chemistry;Soil Chemistry;Soil Physical;Soil Physical;Human Use
21567988,Bokenstrand (2004),Establishment of vegetation in broadened field boundaries in agricultural landscapes,2004,2000-2004,field boundary,Sweden,Sweden,"Kasby farm, Uppsala (59 51 N, 17 41 E) and Ekenäs Research Station, Flen (58 48 N, 16 44 E)",59.016667,17.016667,Biodiversity
21567990,Boller (1988),"Hedges as potential sources of Typhlodromus pyri, the most important predatory mite in vineyards of northern Switzerland",1988,1985-1989,hedge,Switzerland,Switzerland,"Vineyards in the cantons of Schaffhausen, Aargau, Bern, St. Gallen and Zurich",47.410834,8.361625,Biodiversity
21567993,Bollinger (1985),Factors influencing blackbird damage to field corn,1985,1985-1989,hedge,USA,"New York, USA","Montezuma National Wildlife Refuge (MNWR) in Cayuga County, New York",42.96266,-76.740947,Human Use
21567994,Bonifacio (2011),The effect of woody plant diversity and other stand and landscape factors on the diversity and abundance of birds using farm shelterbelts,2011,2010-2014,shelterbelt,Australia,"New South Wales, Australia",Central-west New South Wales,-32.388109,144.131284,Biodiversity
21568001,Borin (2010),Multiple functions of buffer strips in farming areas,2010,2010-2014,buffer strip,Italy,Italy,"Legnaro core experiments, Padova University (45 12' N, 11 58' E)",45.19996,11.966724,Soil Chemistry;Soil Chemistry;Soil Physical;Soil Chemistry;Soil Physical;Human Use
21568002,Borin (2005),Effectiveness of buffer strips in removing pollutants in runoff from a cultivated field in North-East Italy,2005,2005-2009,buffer strip,Italy,Italy,"Experimental farm of Padova University (45 12' N, 11 58' E)",45.19996,11.966724,Soil Chemistry;Soil Chemistry;Soil Physical
21568011,Botias (2015),"Neonicotinoid Residues in Wildflowers, a Potential Route of Chronic Exposure for Bees",2015,2015-2016,field margin,UK,UK,"East Sussex, south-east England",50.961141,0.238563,Pollution
21568012,Boughey (2011),Improving the biodiversity benefits of hedgerows: How physical characteristics and the proximity of foraging habitat affect the use of linear features by bats,2011,2010-2014,hedgerow,UK,UK,UK (nationwide survey),52.831319,-1.770154,Biodiversity
21568013,Boutin (1998),Intensity of agricultural practices and effects on adjacent habitats,1998,1995-1999,woodlot edge;hedgerow,Canada,"Québec, Canada","Richelieu River watershed (45 30' to 46 06' N, 73 30' to 73 20' E)",45.77484,73.273255,Biodiversity
21568014,Boutin (2003),"Importance of riparian habitats to flora conservation in farming landscapes of southern Quebec, Canada",2003,2000-2004,riparian strip,Canada,"Québec, Canada","Boyer River watershed (46 46 N, 70 57 W)",46.766667,-70.95,Biodiversity
21568019,Bowling (2014),Influence of landscape composition on northern bobwhite population response to field border establishment,2014,2010-2014,field border,USA,"North Carolina and South Carolina, USA","North Carolina and South Carolina, regional study",multiple,multiple,Biodiversity
21568022,Bradburn (2010),Evaluation of riparian forests established by the Conservation Reserve Enhancement Program (CREP) in Virginia,2010,2010-2014,forest riparian buffer,USA,"Virginia, USA","Coastal Plain, Piedmond, Ridge and Valley regions, Virginia",37.333559,-78.344406,Biodiversity
21568024,Bradbury (2000),Habitat associations and breeding success of yellowhammers on lowland farmland,2000,2000-2004,field boundary;hedgerow,UK,UK,"Oxfordshire, Wiltshire and Warwickshire",51.743295,-1.544014,Biodiversity
21568025,Bradley (2011),Nitrous oxide production and potential denitrification in soils from riparian buffer strips: Influence of earthworms and plant litter,2011,2010-2014,riparian buffer strip,Canada,"Québec, Canada","Northeast of Bedford (45 07 N, 72 59 W)",45.116667,-72.983333,Biodiversity;Soil Chemistry;Soil Chemistry;Soil Physical;Ecosystem Functioning
21568027,Bragan (1997),Shallow groundwater denitrification rate measurement by acetylene block,1997,1995-1999,grass strip;riparian woods,USA,"Maryland, USA","Uniersity of Maryland's Wye Research and Education Center, Queenstown",38.912012,-76.150747,Soil Chemistry;Soil Chemistry
21568028,Brambilla (2009),"GIS-models work well, but are not enough: Habitat preferences of Lanius collurio at multiple levels and conservation implications",2009,2005-2009,hedge,Italy,Italy,Lombardy,45.479055,9.845043,Biodiversity
21568033,Brickle (2000),Habitat use by Corn Buntings Miliaria calandra in winter and summer,2000,2000-2004,grassy margin,UK,UK,"North of Worthing, West Sussex (TQ0306-TQ2013)",50.857947,-0.388971,Biodiversity
21568034,Bright (2004),Insects on farmland and their importance to granivorous birds,2004,2000-2004,uncropped margin,UK,UK,20 mile radius around Sirling University,56.149809,-3.933458,Biodiversity
21568035,Bright (2015),Higher-tier agri-environment scheme enhances breeding densities of some priority farmland birds in England,2015,2015-2016,hedge;margin;ditch,UK,UK,"East Anglia (The Fens, North West Norfolk, East Anglian Chalk, Breckland, Bedfordshire and Cambridgeshire Claylands), West Midlands (Shropshire, Cheshire & Staffordshire Plain), Oxfordshire (The Cotswolds, Oxfordshire Upper Thames Clay Vales, Midvale Ridge)",52.499552,-0.780979,Biodiversity
21568039,Bro (2004),Impact of habitat management on grey partridge populations: assessing wildlife cover using a multisite BACI experiment,2004,2000-2004,cover strip,France,France,"Beauce, Grande Beauce and Champagne Berrichonne regions",46.82181,2.112052,Biodiversity
21568045,Bryja (2000),Small mammal communities in newly planted biocorridors and their surroundings in southern Moravia (Czech Republic),2000,2000-2004,biocorridor,Czech Republic,Czech Republic,"Vlkoš, Hodonín, southern Moravia",49.197442,16.603161,Biodiversity
21568048,Büchi (2002),Mortality of pollen beetle (Meligethes spp.) larvae due to predators and parasitoids in rape fields and the effect of conservation strips,2002,2000-2004,conservation strip;wildflower strip,Switzerland,Switzerland,"Schaffhausen, Aargau and Zurich cantons",47.57723,8.534672,Biodiversity
21568051,Buddle (2004),Ground-dwelling Spider Assemblages Inhabiting Riparian Forests and Hedgerows in an Agricultural Landscape,2004,2000-2004,riparian forest;hedgerow,USA,"Ohio, USA","Four Mile Creek and Seven Mile Creek, near Oxford, south-west Ohio",39.506997,-84.745231,Biodiversity
21568055,Burel (1996),Hedgerows and their role in agricultural landscapes,1996,1995-1999,hedgerow,France,France,Western Brittany,48.230657,-3.965512,Biodiversity
21568057,Burel (1995),"Social, aesthetic and ecological aspects of hedgerows in rural landscapes as a framework for greenways",1995,1995-1999,hedgerow;greenway,France,France,"Ercé-en-Lamée, Brittany",47.830016,-1.560131,Biodiversity;Soil Physical;Social
21568062,Burgess (2015),Influence of agri-environment scheme options on territory settlement by Yellowhammer (Emberiza citronella) and Corn Bunting (Emberiza calandra),2015,2015-2016,field margin,UK,UK,"Cotswolds, West Midlands and East Anglia",52.109151,-0.711515,Biodiversity
21568064,Burgio (2015),"The Influence of Vegetation and Landscape Structural Connectivity on Butterflies (Lepidoptera: Papilionoidea and Hesperiidae), Carabids (Coleoptera: Carabidae), Syrphids (Diptera: Syrphidae), and Sawflies (Hymenoptera: Symphyta) in Northern Italy Farmland",2015,2015-2016,field margin;hedgerow,Italy,Italy,Modena and Reggio Emilia,44.659127,10.789016,Biodiversity
21568066,Burt (2013),"The impact of cattle farming best management practices on surface water nutrient concentrations, faecal bacteria and algal dominance in the Lake Oconee watershed",2013,2010-2014,riparian buffer,USA,"Georgia, USA","Oconee River arm and Apalachee River arm, Upper Oconee River Basin",31.860707,-82.070674,Biodiversity;Soil Chemistry;Soil Chemistry;Soil Chemistry;Pollution
21568069,Busch (2000),"Habitat selection by Calomys musculinus (Muridae, Sigmodontinae) in crop areas of the pampean region, Argentina",2000,2000-2004,crop border,Argentina,Argentina,"Diego Gaynor (34 8 S, 59 14 W), Buenos Aires",-34.133333,-59.233333,Biodiversity
21568070,Butet (2006),Seasonal changes in small mammal assemblages from field boundaries in an agricultural landscape of western France,2006,2005-2009,field boundary,France,France,"Mont-Saint-Michel Bay (48 36 N, 1 32 W)",48.599992,-1.533343,Biodiversity
21568081,Campagne (2006),Factors explaining shrub species distribution in hedgerows of a mountain landscape,2006,2005-2009,hedgerow,France,France,"Champsaur Valley (44 39 52.6896 N, 3 46 26.13 E)",44.575946,3.758214,Biodiversity
21568085,Canavelli (2014),Multi-level analysis of bird abundance and damage to crop fields,2014,2010-2014,field border,Argentina,Argentina,Department of Paraná (Entre Ríos Province),-25.607555,-54.961184,Biodiversity;Human Use
21568088,Cao (2015),Grass hedge effects on controlling soil loss from concentrated flow: A case study in the red soil region of China,2015,2015-2016,grass hedge,China,China,"Ecological Experimental Station of Red Soil, Chinese Academy of Sciences, Yujiang County, Jiangxi Province (28 12 15 N, 116 55 17 E)",28.204167,116.921388,Soil Physical;Soil Physical
21568090,Cardarelli (2014),Effects of grass management intensity on ground beetle assemblages in rice field banks,2014,2010-2014,field bank,Italy,Italy,"Po plain, 13km north of Pavia (45 17 21.77 N, 09 09 26.19 E)",45.294178,9.159126,Biodiversity
21568091,Cárdenas (2015),The spider assemblage of olive groves under three management systems,2015,2015-2016,hedge,Spain,Spain,"Los Pedroches (Alcaracejos and Pozoblanco) in Córdoba, Albolote and Deifontes in Granada, Andalucia",38.470594,-4.810458,Biodiversity
21568092,Cardinali (2013),Herbicides runoff in vegetative filter strips: evaluation and validation of a recent rainfall return period model,2013,2010-2014,vegetative filter strip,Italy,Italy,Padova University Experimental Farm in the Po Valley,45.406766,11.877446,Pollution
21568094,Carmona (1999),Gryllus pennsylvanicus (Orthoptera : Gryllidae): Laboratory weed seed predation and within field activity-density,1999,1995-1999,perennial filter strip,USA,"Michigan, USA","Midland County, Michigan",43.575091,-84.354206,Biodiversity
21568096,Caron (2010),Impact of Grass and Grass with Poplar Buffer Strips on Atrazine and Metolachlor Losses in Surface Runoff and Subsurface Infiltration from Agricultural Plots,2010,2010-2014,buffer strip,Canada,"Québec, Canada","Farm of Institut de Recherche et Développement en Agroenvironnement (IRDA) (46 36.5 N, 71 10.5 W), St-Lambert-de-Lauzon",46.608333,-71.175003,Soil Physical;Pollution
21568101,Caubel (2003),Influence of a hedge surrounding bottomland on seasonal soil-water movement,2003,2000-2004,hedge,France,France,"Massif Armoricain, north-west France, 20km west of Rennes",48.000002,-2.999999,Soil Physical
21568102,Ceresa (2012),The importance of key marginal habitat features for birds in farmland: An assessment of habitat preferences of Red-backed Shrikes Lanius collurio in the Italian Alps,2012,2010-2014,hedgerow,Italy,Italy,Trento province,46.051214,11.117441,Biodiversity
21568104,Cey (1999),Role of the riparian zone in controlling the distribution and fate of agricultural nitrogen near a small stream in southern Ontario,1999,1995-1999,riparian zone;uncultivated strip,Canada,"Ontario, Canada","Eastern sub-basin of the Kintore Creek watershed, 35km east of London",42.989045,-80.815538,Soil Chemistry;Soil Chemistry
21568108,Chapman (2002),The impact of buffer strips and stream-side grazing on small mammals in southwestern Wisconsin,2002,2000-2004,buffer strip,USA,"Wisconsin, USA",Southwestern Wisconsin,43.196232,-90.50918,Biodiversity
