abandon
abat
abat non
data model
data nutrient
data obtain
data set
data suggest
data support
data use
data year
dataset
date
date reveal
day
day applic
day day
day follow
day observ
day−
dea
dea measur
dead
dead grass
deal
dealt
debat
debri
decad
decad result
decay
decemb
decemb june
decid
decidu
decidu forest
decidu tree
decidu woodland
decis
decis regard
declin
declin abund
declin approxim
declin arabl
declin biodivers
declin bumblebe
declin caus
declin distanc
declin european
declin farmland
declin increas
declin northern
declin odon
declin pollin
declin popul
declin rapid
declin result
declin speci
decomposit
decomposit organ
decreas
decreas averag
decreas concentr
decreas distanc
decreas dure
decreas flow
decreas groundwat
decreas hedgerow
decreas increas
decreas loss
decreas mgl
decreas number
decreas nutrient
decreas potenti
decreas runoff
decreas sharpli
decreas signific
decreas soil
decreas stream
decreas time
decreas veget
decreas water
decreas width
dedic
deep
deep groundwat
deep root
deeper
deeper horizon
deepli
deer
deethylatrazin
defin
degrad
degrad isoproturon
degrad product
degrad riparian
degrad surfac
degre
degre certainti
dehydrogenas
dehydrogenas activ
del
delay
delay rewet
delay soil
delay surfac
deleteri
deleteri effect
deliv
deliveri
deliveri respect
deltoid
demand
demetria
demetria atricapillus
demograph
demograph paramet
demonstr
demonstr agrienviron
demonstr benefici
demonstr decreas
demonstr effect
demonstr increas
demonstr necess
demonstr plant
demonstr standard
denitrif
denitrif activ
denitrif enzym
denitrif gene
denitrif nitrat
denitrif nitrous
denitrif occur
denitrif potenti
denitrif rate
denitrif riparian
denitrifi
denitrifi enzym
denitrificationproduc
denmark
dens
dens hedgerow
dens perenni
dens shrub
dens veget
densiti
densiti abund
densiti adjac
densiti arthropod
densiti beetl
densiti biomass
densiti bird
densiti breed
densiti close
densiti convent
densiti crop
densiti decreas
densiti differ
densiti divers
densiti estim
densiti field
densiti forag
densiti hedgerow
densiti herbivor
densiti higher
densiti highest
densiti individu
densiti influenc
densiti landscap
densiti low
densiti macroporos
densiti natur
densiti nest
densiti pairskm
densiti pastur
densiti predat
densiti predatori
densiti presenc
densiti record
densiti rich
densiti sever
densiti signific
densiti soil
densiti song
densiti speci
densiti success
densiti syrphid
densiti time
densiti total
densiti tree
densiti variabl
densiti veget
densitydepend
depart
depart agricultur
depend
depend anteced
depend chemic
depend farm
depend floral
depend landscap
depend measur
depend shelterbelt
depend speci
depend variabl
depend veget
deplet
deposit
deposit sediment
depred
depress
depth
depth analyz
depth distanc
depth greater
depth increment
depth interact
depth nitrogen
depth sampl
depth soil
depth year
deriv
derocera
derocera reticulatum
des
des espec
describ
describ effect
descript
descript variabl
deserv
desethylatrazin
desethylatrazin dea
design
design buffer
design continu
design criteria
design evalu
design implement
design manag
design promot
design provid
design reduc
design seed
design studi
design test
design treatment
design use
desir
desir level
desorpt
desorpt paramet
despit
despit relat
despit wide
destruct
detach
detect
detect arthropod
deter
determin
determin bird
determin buffer
determin combin
determin concentr
determin effect
determin extent
determin florist
determin flow
determin habitat
determin impact
determin import
determin influenc
determin landscap
determin local
determin main
determin number
determin popul
determin relat
determin season
determin shelterbelt
determin soil
determin speci
determin use
determin water
detrend
detrend correspond
detriment
detriment effect
detritivor
develop
develop base
develop effect
develop evalu
develop field
develop help
develop manag
develop model
develop predict
develop sustain
develop test
develop tree
develop use
devic
devis
devoid
dia
diacet
diacet fda
diadegma
diadegma semiclausum
diamet
diamet larg
dickcissel
dickcissel spiza
dicot
dicotyledon
did
did affect
did appear
did benefit
did chang
did consist
did contribut
did correl
did cut
did depend
did detect
did differ
did effect
did establish
did improv
did increas
did influenc
did observ
did occur
did reduc
did respond
did result
did signific
diet
differ
differ activ
differ age
differ area
differ aspect
differ bee
differ biodivers
differ bird
differ buffer
differ carabid
differ combin
differ concentr
differ conserv
differ consider
differ crop
differ degre
differ depth
differ differ
differ direct
differ disappear
differ distanc
differ drp
differ ecosystem
differ effici
differ experiment
differ extent
differ factor
differ farm
differ field
differ food
differ forest
differ function
differ grass
differ great
differ group
differ habitat
differ hedgerow
differ indic
differ land
differ landscap
differ level
differ local
differ locat
differ manag
differ mechan
differ number
differ observ
differ organ
differ paramet
differ pattern
differ plant
differ proport
differ regard
differ relat
differ remov
differ respons
differ riparian
differ scale
differ seed
differ signific
differ site
differ size
differ small
differ soil
differ spatial
differ speci
differ structur
differ taxa
differ temperatur
differ time
differ total
differ treatment
differ tree
differ type
differ veget
differ watersh
differ way
differ weed
differ wide
differ windbreak
differ year
differenti
difficult
difficulti
diffus
diffus pollut
digest
digit
digit imag
dike
dilut
dilut concentr
dilut upwel
dimens
dimens veget
dimensionless
diminish
dioica
diptera
diptera syrphida
direct
direct effect
direct hedgerow
dirhodum
disagr
disappear
discern
discharg
discharg buffer
discharg concentr
discharg ground
discharg stream
discret
discrimin
discriminatori
discriminatori separ
discuss
discuss context
discuss implic
discuss relat
discuss suggest
discuss term
diseas
disentangl
disk
dispers
dispers abil
dispers field
dispers limit
displac
display
display clear
dispos
dissemin
dissimilar
dissip
dissolv
dissolv atrazin
dissolv concentr
dissolv herbicid
dissolv inorgan
dissolv nitrous
dissolv organ
dissolv oxygen
dissolv particul
dissolv phosphorus
dissolv reactiv
distanc
distanc away
distanc crop
distanc effect
distanc field
distanc hedgerow
distanc natur
distanc nearest
distanc nest
distanc shelterbelt
distanc strip
distanc weed
distanc wind
distanc wood
distant
distinct
distinct communiti
distinguish
distribut
distribut abund
distribut breed
distribut carabid
distribut crop
distribut differ
distribut field
distribut insect
distribut model
distribut pattern
distribut pest
distribut pfs
distribut soil
distribut speci
district
disturb
disturb caus
disturb event
disturb farm
disturb grassland
disturb influenc
disturb scarif
ditch
ditch bank
ditch collect
ditch differ
ditch ditch
ditch manag
ditch ref
ditch water
diurnal
diuron
diverg
diverg flow
divers
divers abund
divers affect
divers agricultur
divers agroecosystem
divers arabl
divers array
divers arthropod
divers assemblag
divers beetl
divers benefici
divers boundari
divers buffer
divers butterfli
divers calcul
divers communiti
divers composit
divers crop
divers decreas
divers densiti
divers did
divers differ
divers farm
divers farmland
divers field
divers flora
divers greater
divers habitat
divers hedgerow
divers higher
divers howev
divers import
divers increas
divers index
divers indic
divers insect
divers land
divers landscap
divers lowest
divers manag
divers mixtur
divers nativ
divers perenni
divers plant
divers possibl
divers rang
divers reduc
divers requir
divers rich
divers seminatur
divers signific
divers site
divers small
divers soil
divers sown
divers speci
divers spider
divers structur
divers taxa
divers time
divers total
divers veget
diversifi
diversit
divid
divid accord
divis
dna
doc
document
document bird
doe
domain
domesticus
domin
domin agricultur
domin competit
domin forb
domin form
domin grass
domin group
domin larg
domin lycosida
domin speci
domin spider
donor
doubl
dove
downgradi
download
downslop
downslop area
downslop buffer
downstream
downward
downward trend
dragonfli
dragonfli damselfli
drain
drain area
drainag
drainag area
drainag ditch
drainag regim
drainag tile
drainageway
dramat
dramat chang
dramat reduc
drastic
draw
dri
dri condit
dri mass
dri season
dri soil
dri weight
dri year
drier
driest
drift
drink
drink water
drive
drive popul
driven
driven combin
driver
drop
drought
drp
drp concentr
drp load
drp loss
drp total
dual
dunnock
dunnock prunella
duodenali
durat
dure
dure autumn
dure breed
dure centuri
dure consecut
dure day
dure dri
dure earli
dure event
dure extrem
dure flower
dure grow
dure herbicid
dure larg
dure min
dure minut
dure natur
dure past
dure period
dure rainfal
dure runoff
dure season
dure second
dure spring
dure studi
dure success
dure summer
dure treatment
dure veget
dure wet
dure winter
dure year
dutch
dutch farmland
dye
dynam
dynam hedgerow
dynam natur
dynam soil
ear
earli
earli august
earli june
earli late
earli season
earli spring
earli success
earli succession
earlier
earlier laboratori
earlyseason
earthworm
earthworm biomass
earthworm communiti
easi
easili
easili achiev
easili measur
east
east anglia
east hedgerow
eastern
eastern canada
eastern england
eastern gamagrass
eastern meadowlark
eastern nebraska
eastern north
eat
ecohydrolog
ecohydrolog function
ecolog
ecolog aesthet
ecolog benefit
ecolog compens
ecolog divers
ecolog effect
ecolog function
ecolog gradient
ecolog impact
ecolog process
ecolog qualiti
ecolog requir
ecolog respons
ecolog restor
ecolog servic
ecolog status
ecolog trap
ecologist
econom
econom benefit
econom import
econom incent
econom loss
ecoregion
ecosystem
ecosystem function
ecosystem manag
ecosystem reduc
ecosystem servic
ecosystem studi
ecoton
ecotoxicolog
edg
edg adjac
edg avoid
edg center
edg crop
edg densiti
edg determin
edg differ
edg effect
edg farm
edg field
edg forest
edg habitat
edg hedg
edg higher
edg provid
edg reduc
edg riparian
edg speci
edg stream
edg tree
edg type
edgeoffield
edgeoffield runoff
edward
edward island
effect
effect abund
effect ae
effect agricultur
effect agrienviron
effect appar
effect approach
effect aquat
effect assess
effect attenu
effect best
effect biodivers
effect biolog
effect bird
effect bse
effect buffer
effect chang
effect concentr
effect conserv
effect control
effect corridor
effect crop
effect cut
effect denitrif
effect detect
effect did
effect differ
effect distanc
effect effici
effect environment
effect establish
effect experiment
effect explain
effect farm
effect field
effect filter
effect flower
effect grass
effect grassi
effect habitat
effect hedg
effect hedgerow
effect herbicid
effect high
effect howev
effect improv
effect increas
effect individu
effect integr
effect intens
effect invertebr
effect land
effect landscap
effect larg
effect lead
effect littl
effect local
effect maiz
effect manag
effect mean
effect measur
effect mechan
effect method
effect mitig
effect narrow
effect nonpoint
effect number
effect nutrient
effect observ
effect occur
effect onli
effect organ
effect parasitoid
effect pesticid
effect plant
effect popul
effect predat
effect predictor
effect pronounc
effect provid
effect qualiti
effect recent
effect reduc
effect reduct
effect refug
effect relat
effect remnant
effect remov
effect restor
effect riparian
effect runoff
effect season
effect sediment
effect seed
effect sever
effect shelterbelt
effect signific
effect soil
effect sown
effect spatial
effect speci
effect spray
effect stop
effect strategi
effect strip
effect stripmanag
effect structur
effect synthesi
effect target
effect test
effect time
effect tool
effect total
effect trap
effect tree
effect use
effect vari
effect various
effect veget
effect vfs
effect water
effect weed
effect wide
effect width
effect wildflow
effect wind
effect windbreak
efficaci
effici
effici averag
effici buffer
effici conserv
effici decreas
effici filter
effici grass
effici increas
effici manag
effici nitrogen
effici present
effici reduc
effici remov
effici riparian
effici solubl
effici veget
effluent
effluent equival
effluent model
effort
effort improv
egg
egg parasit
eighteen
el
elaps
elaps sinc
eld
electr
electr conduct
element
element hedgerow
element landscap
element support
elev
elev concentr
elev level
elev nitrat
elev sediment
elimin
elimin nativ
ellenberg
ellenberg indic
elsevi
elsevi right
elsewher
elucid
elymus
elymus repen
elytra
elytra length
elytrigia
elytrigia repen
emberiza
emberiza calandra
emberiza citrinella
emerg
emerg week
emigr
emiss
emiss measur
emiss result
emit
emphas
emphas import
emphasi
emphasis
emphasis import
empir
employ
enabl
encircl
enclos
enclosur
enclosur recaptur
encompass
encount
encourag
end
end plot
end summer
end winter
endang
endang speci
enemi
enemi adjac
enemi crop
enemi increas
enemi pest
enemi popul
energi
engag
england
england environment
england provid
england studi
england wale
england year
english
english agrienviron
enhanc
enhanc abund
enhanc biodivers
enhanc biolog
enhanc boundari
enhanc carabid
enhanc connect
enhanc control
enhanc divers
enhanc farmland
enhanc floral
enhanc florist
enhanc grass
enhanc habitat
enhanc landscap
enhanc local
enhanc natur
enhanc plant
enhanc popul
enhanc program
enhanc proxim
enhanc remov
enhanc sediment
enhanc small
enhanc speci
enhanc valu
enhanc water
enhanc width
enlarg
enrich
enrol
enrol conserv
ensur
ensur higher
enter
enter water
entir
entir confin
entir studi
entir thesi
entomolog
entomopathogen
entr
entrain
entri
entri level
entri pathway
environ
environ result
environment
environment benefit
environment buffer
environment chang
environment condit
environment damag
environment econom
environment factor
environment impact
environment perform
environment polici
environment problem
environment protect
environment qualiti
environment regulatori
environment stewardship
environment variabl
enzym
enzym activ
ephemer
epiaqualf
epig
epig predat
episyrphus
episyrphus balteatus
ept
equal
equal effect
equat
equat develop
equilibrium
equilibrium state
equival
equival nha
equivoc
erigon
erigon atra
erod
erod soil
eros
eros control
eros degrad
eros improv
eros increas
eros major
eros measur
eros phosphorus
eros plot
eros process
eros rate
eros rill
eros runoff
eros sediment
eros soil
eros studi
eros surfac
error
escal
escap
escherichia
escherichia coli
esculentum
espec
especi
especi bee
especi combin
especi crop
especi dure
especi surfac
essenti
essex
est
esta
estab
estab lish
establish
establish adjac
establish agricultur
establish aksarben
establish buffer
establish conserv
establish crop
establish differ
establish farm
establish field
establish grassi
establish grassland
establish hedgerow
establish improv
establish investig
establish mainten
establish manag
establish method
establish multispeci
establish new
establish previous
establish result
establish riparian
establish shelterbelt
establish sow
establish sown
establish studi
establish success
establish veget
establish water
establish wildflow
establish year
estat
estim
estim dispers
estim import
estim metric
estim nitrogen
estim nutrient
estim provid
estim sediment
estim stream
estim use
estim valu
estonia
ethanol
eucalyptus
eucalyptus speci
eurasian
europ
europ conserv
europaea
european
european corn
european countri
european farmland
european union
european water
eutroph
evalu
evalu abil
evalu altern
evalu associ
evalu biodivers
evalu contribut
evalu data
evalu differ
evalu ecolog
evalu effect
evalu extent
evalu grade
evalu impact
evalu influenc
evalu manag
evalu potenti
evalu relat
evalu result
evalu satur
evalu soil
evalu spatial
evalu studi
evalu use
evalu water
evapor
evapotranspir
event
event adjac
event averag
event becaus
event day
event grass
event herbicid
event high
event mean
event occur
event repres
event return
event sampl
event sediment
event total
event watersh
event year
eventu
everi
everi year
evid
evid avail
evid consist
evid effect
evid import
evid posit
evid suggest
evolut
evolv
examin
examin buffer
examin differ
examin effect
examin effici
examin habitat
examin impact
examin import
examin manag
examin occas
examin potenti
examin relat
examin relationship
examin sampl
examin slurri
examin studi
examin suitabl
examin variat
exampl
exceed
exceed total
exceed water
excel
excel sourc
excess
excess combin
excess nitrat
excess nitrogen
excess nutrient
exchang
exclud
exclus
exert
exhibit
exhibit high
exist
exist riparian
exist shelterbelt
exit
exit water
exot
expand
expans
expect
expect provid
experi
experi assess
experi carri
experi compar
experi conduct
experi consist
experi design
experi effect
experi field
experi investig
experi monitor
experi perform
experi replic
experi station
experi suggest
experienc
experiment
experiment approach
experiment condit
experiment data
experiment design
experiment evid
experiment farm
experiment field
experiment increas
experiment plot
experiment result
experiment site
experiment soil
experiment sown
experiment studi
experiment treatment
experiment watersh
expert
explain
explain differ
explain observ
explain result
explain term
explain total
explain variat
explain whi
explan
explanatori
explanatori factor
explanatori power
explanatori variabl
explicit
exploit
explor
explor number
exponenti
exponenti regress
export
export catchment
export crop
export dissolv
export organ
expos
expos field
exposur
express
extend
extend field
extens
extens catalog
extens manag
extent
extent effect
extent field
extent local
extent popul
extern
extern benefit
extinct
extinct howev
extra
extract
extrapol
extrem
extrem event
extrem rainfal
exuvi
exuvia
faba
face
facil
facil eastern
facilit
facilit understand
fact
factor
factor affect
factor associ
factor caus
factor conserv
factor contribut
factor control
factor correl
factor determin
factor differ
factor drive
factor explain
factor govern
factor impact
factor import
factor includ
factor influenc
factor investig
factor landscap
factor limit
factor plant
factor promot
factor relat
factor signific
factor slope
factor studi
factori
faecal
faecal bacteria
fagopyrum
fagopyrum esculentum
fail
failur
fair
fair high
fall
fallow
fallow border
fallow field
fallow land
fallow mow
fallow strip
fallow veget
famili
famili group
famili rich
far
farm
farm area
farm assess
farm central
farm contribut
farm crop
farm enhanc
farm farm
farm field
farm hedgerow
farm includ
farm increas
farm intens
farm investig
farm landscap
farm locat
farm lowland
farm manag
farm near
farm network
farm north
farm northern
farm oper
farm pond
farm practic
farm product
farm pronounc
farm reduc
farm region
farm requir
farm result
farm scale
farm select
farm signific
farm site
farm southwest
farm type
farm use
farm wytham
farm year
farmer
farmer differ
farmer establish
farmer increas
farmer interview
farmer nonfarm
farmland
farmland assess
farmland biodivers
farmland bird
farmland field
farmland futur
farmland habitat
farmland manag
farmland mani
farmland potenti
farmland relat
farmland southern
farmland speci
farmland wildlif
farmscal
farmstead
farmstead shelterbelt
fasciatus
fashion
fashion min
fast
faster
fate
fate nitrat
fate no−
fatti
fatti acid
fauna
fauna discuss
faunal
faunal communiti
faunal divers
faunal floral
favor
favour
favour condit
favour establish
favour habitat
fbeg
fbeg use
fcb
fcb concentr
fda
fda hydrolas
feasibl
featur
featur agricultur
featur farm
featur hedgerow
featur influenc
featur landscap
februari
fecal
fecal coliform
fecal contamin
fecal indic
feder
feed
feed area
feed guild
feeder
feedlot
feedstock
femal
femal male
fenc
fenc field
fenc line
fenc margin
fenc natur
fenc plant
fenc shelterbelt
fenc stream
fenc tree
fencerow
fertil
fertil appli
fertil applic
fertil soil
fertil treatment
fertil use
fertilis
fescu
fescu festuca
fescu veget
festuca
festuca arundinacea
festuca rubra
fewer
fewer plant
fewer spider
field
field abund
field act
field adjac
field adjoin
field agrienviron
field agroecosystem
field appli
field area
field associ
field avail
field avoid
field bank
field becaus
field border
field boundari
field buffer
field center
field centr
field colon
field compar
field condit
field conserv
field continu
field contrast
field contribut
field control
field convent
field corn
field cricket
field crop
field data
field decreas
field densiti
field did
field differ
field distanc
field ditch
field dure
field edg
field effect
field evalu
field experi
field fertil
field field
field furthermor
field grass
field grassi
field grassland
field graze
field habitat
field hedgerow
field howev
field import
field indic
field interior
field investig
field jokioinen
field laboratori
field landscap
field likewis
field locat
field lower
field main
field maiz
field manag
field margin
field meadow
field measur
field monitor
field near
field observ
field onli
field open
field opposit
field order
field pair
field pastur
field path
field perenni
field perman
field plant
field plot
field potenti
field present
field proper
field proport
field provid
field rate
field receiv
field recent
field reduc
field regardless
field relat
field result
field riparian
field river
field road
field runoff
field sampl
field scale
field season
field signific
field site
field size
field slope
field soil
field sown
field speci
field spring
field stream
field strip
field studi
field suggest
field surfac
field surround
field survey
field test
field therefor
field time
field total
field treatment
field trial
field type
field use
field veri
field vole
field watercours
field weed
field weedi
field wherea
field wide
field windbreak
field winter
field wood
field year
field yearold
fieldbord
fieldmargin
fieldmargin habitat
fieldscal
fieldscal flow
fieldscal studi
fieldtofield
fig
file
file nontechn
file offici
filedissert
filedissert advisor
filter
filter compar
filter concentr
filter effect
filter filter
filter length
filter media
filter perform
filter pollut
filter rang
filter reactiv
filter reduc
filter rowcrop
filter strip
filter use
filter vari
filterstrip
final
final sampl
financi
financi incent
fine
fine grain
fine grass
fine root
fine sand
fine smectit
finer
finescal
finescal habitat
finesilti
finesilti mix
finland
finnish
firstord
fish
fish assemblag
fish communiti
fisheri
fit
fix
flander
flat
flat agricultur
flat field
flava
flavicolli
flea
fledg
flexibl
fli
fli diptera
fli insect
flight
flood
floodplain
flora
flora crop
flora fauna
flora field
floral
floral assemblag
floral divers
floral faunal
floral food
floral nectar
floral patch
floral resourc
floral speci
florist
florist composit
florist divers
florist enhanc
flow
flow agricultur
flow collect
flow concentr
flow condit
flow converg
flow data
flow direct
flow event
flow forest
flow howev
flow length
flow measur
flow model
flow path
flow pathway
flow pattern
flow period
flow rate
flow riparian
flow sediment
flow treatment
flow vfs
flower
flower abund
flower border
flower cover
flower crop
flower densiti
flower field
flower grass
flower howev
flower margin
flower mixtur
flower onli
flower patch
flower phenolog
flower plant
flower resourc
flower season
flower seed
flower speci
flower strip
flower thrip
flower visit
flower weed
flowpath
flowweight
flowweight concentr
flowweight sampl
fluctuat
flume
fluorescein
fluorescein diacet
flux
flux agricultur
flux site
flux soil
flux water
focal
focal speci
focus
focus creation
focus differ
focuss
fodder
fold
fold everi
foliagedwel
foliagedwel spider
follow
follow applic
follow establish
follow general
follow high
follow rainfal
follow swine
follow treatment
food
food abund
food avail
food chain
food cover
food plant
food reproduct
food resourc
food sourc
food suppli
food web
footpath
footslop
footslop contour
footslop posit
forag
forag activ
forag area
forag bee
forag behaviour
forag bumbl
forag bumblebe
forag crop
forag habitat
forag nest
forag opportun
forag plant
forag qualiti
forag rang
forag resourc
forag site
forag speci
forb
forb grass
forb increas
forb mix
forb speci
forb woodi
forc
forest
forest adjac
forest agricultur
forest buffer
forest communiti
forest cover
forest cultiv
forest edg
forest forest
forest grass
forest habitat
forest hedg
forest hedgerow
forest herb
forest interior
forest meadow
forest plant
forest practic
forest provid
forest remnant
forest riparian
forest sampl
forest shelter
forest shelterbelt
forest soil
forest speci
forest stand
forest stream
forest veget
forestri
form
formacion
format
formul
forti
foundat
fourth
fouryear
fouryear period
fraction
fragment
fragment agricultur
fragment habitat
fragment landscap
framework
framework direct
franc
franc dure
franc use
frankliniella
frankliniella occidentali
fraxinus
free
frequenc
frequenc time
frequent
frequent cut
frequent mow
frequent visit
fresh
freshwat
frost
fruit
fruit crop
fruit orchard
fruticosus
fue
fulfil
fulli
fulli establish
fulli spray
fulva
function
function biodivers
function composit
function divers
function enhanc
function eros
function field
function group
function howev
function import
function interact
function landscap
function like
function natur
function speci
fund
fundament
fungal
fungi
fungicid
fungus
furthermor
furthermor weed
futur
futur hedgerow
futur research
futur studi
fym
gain
gain inform
galium
galium aparin
gamagrass
gamagrass switchgrass
gamagrass tripsacum
game
game bird
game cover
game speci
gap
gapperi
garten
garten wullschleg
gas
gas emiss
gase
gaseous
gather
gave
gbs
gene
gene soil
genera
general
general ae
general aim
general declin
general decreas
general good
general grass
general higher
general increas
general introduct
general linear
general negat
general reduc
general result
general smaller
general soil
general target
general tendenc
general trend
generalist
generalist parasitoid
generalist predat
generalist speci
generalist specialist
generat
generat signific
generat year
genet
genet modifi
genotyp
genus
geochem
geograph
geograph locat
geolog
geometr
geometr mean
geometri
georgia
georgia dure
germani
germin
germin nich
giant
giant cane
giardia
giardia duodenali
gigantea
gigantea roth
gigantea walt
gis
gis analysi
gisbas
gisbas model
given
given field
given import
glareolus
gleam
gleam model
gleam month
gleam simul
gleam version
glms
global
global declin
global warm
glomerata
glycin
glycin matsumura
glycin max
glyphos
glyphos applic
glyphos cut
goal
goldfinch
good
good agreement
good candid
good ecolog
good estim
good indic
good predictor
gossypium
gossypium hirsutum
gottingen
gottingen germani
govern
grade
grade fbeg
gradient
gradient landscap
gradient structur
gradual
grain
grain size
grain sorghum
grain yield
graminicid
graminicid applic
granivor
grant
grape
grass
grass adjac
grass agroforestri
grass area
grass barrier
grass bromus
grass buffer
grass cover
grass crop
grass dactyli
grass domin
grass especi
grass exhibit
grass field
grass filter
grass forb
grass forest
grass grass
grass hedg
grass hedgerow
grass legum
grass ley
grass lolium
grass maidencan
grass maiz
grass margin
grass mix
grass perenni
grass plot
grass prairi
grass present
grass refer
grass result
grass riparian
grass seed
grass shrub
grass soil
grass speci
grass strip
grass switchgrass
grass treatment
grass tree
grass type
grass use
grass veget
grass verg
grass waterway
grass weed
grass wild
grass wildflow
grass woodi
grassforb
grasshopp
grasshopp sown
grasshopp sparrow
grasshopp speci
grassi
grassi bank
grassi boundari
grassi field
grassi margin
grassi strip
grassi veget
grassland
grassland act
grassland arabl
grassland area
grassland biodivers
grassland bird
grassland buffer
grassland crop
grassland edg
grassland farm
grassland field
grassland grassland
grassland habitat
grassland improv
grassland invertebr
grassland landscap
grassland manag
grassland plough
grassland speci
grassland strip
grassland surround
grassland veget
grasslandassoci
grasslandshrub
grasslandshrub buffer
grassshrub
grassshrub riparian
graveolen
gray
graze
graze area
graze cattl
graze control
graze cut
graze field
graze grass
graze intens
graze pastur
graze practic
graze pressur
graze regim
graze riparian
graze rotate
graze site
graze treatment
great
great affect
great increas
great plain
great reduc
great tit
greater
greater abund
greater buffer
greater degre
greater depth
greater distanc
greater divers
greater effect
greater field
greater grass
greater impact
greater import
greater influenc
greater npv
greater number
greater observ
greater organ
greater pastur
greater plant
greater proport
greater rang
greater reduct
greater respect
greater soil
greater total
greater uncertainti
greatest
greatest differ
greatest number
green
green ash
green lane
greenfinch
greenhous
greenhous gas
greenhous gase
greenway
grew
grey
grey partridg
grey redleg
grid
grid pitfal
griffith
gross
ground
ground beetl
ground cover
ground flora
ground level
ground surfac
ground veget
ground water
groundcov
grounddwel
grounddwel spider
groundnest
groundwat
groundwat averag
groundwat buffer
groundwat contamin
groundwat dynam
groundwat flow
groundwat increas
groundwat later
groundwat load
groundwat near
groundwat nitrat
groundwat protect
groundwat qualiti
groundwat recharg
groundwat signific
groundwat stream
groundwat tabl
groundwat transect
group
group assess
group bird
group chang
group did
group differ
group increas
group invertebr
group natur
group particular
group record
group respond
group site
group speci
grow
grow concern
grow crop
grow evid
grow season
grower
growingseason
grown
grown corn
growth
growth compar
growth rate
growth total
gryllus
guidelin
guidelin design
guild
guild structur
gulli
gulli eros
gut
gww
gwws
gwws reduc
habitat
habitat adjac
habitat age
habitat agricultur
habitat agroecosystem
habitat analys
habitat arabl
habitat area
habitat associ
habitat attract
habitat avail
habitat biodivers
habitat bird
habitat border
habitat boundari
habitat breed
habitat buffer
habitat butterfli
habitat carabid
habitat central
habitat charact
habitat characterist
habitat compar
habitat compris
habitat conserv
habitat contain
habitat creat
habitat creation
habitat crop
habitat data
habitat degrad
habitat determin
habitat differ
habitat dure
habitat effect
habitat element
habitat enhanc
habitat evalu
habitat exist
habitat factor
habitat farm
habitat farmland
habitat featur
habitat field
habitat forest
habitat fragment
habitat generalist
habitat grassland
habitat habitat
habitat hedg
habitat hedgerow
habitat howev
habitat impact
habitat import
habitat improv
habitat intens
habitat invertebr
habitat landscap
habitat linear
habitat littl
habitat locat
habitat loss
habitat maintain
habitat manag
habitat mani
habitat manipul
habitat mean
habitat measur
habitat model
habitat monitor
habitat nativ
habitat natur
habitat need
habitat observ
habitat organ
habitat overwint
habitat paramet
habitat patch
habitat play
habitat posit
habitat potenti
habitat prefer
habitat present
habitat provid
habitat qualiti
habitat rang
habitat reduc
habitat refug
habitat requir
habitat result
habitat riparian
habitat season
habitat select
habitat sever
habitat sinc
habitat size
habitat sourc
habitat speci
habitat specialist
habitat structur
habitat studi
habitat suitabl
habitat support
habitat survey
habitat tenui
habitat therefor
habitat time
habitat type
habitat use
habitat variabl
habitat wherea
habitat width
habitat wildl
habitat wildlif
habitat woodlot
hai
half
halt
halt declin
halv
hand
hand decreas
haplic
hapludol
harbor
harbour
harbour high
harbour highest
harbour plant
hard
hardwood
hare
harm
harpalus
harpalus rufip
harvest
harvest treatment
harvest tree
harvest wood
hawk
hay
hay surround
ha−
ha− ha−
ha− respect
ha− year
ha− year−
ha− yr−
headland
headwat
headwat catchment
headwat stream
health
heat
heavi
heavi clay
heavili
heavili load
hectar
hectar measur
hectar year
hedg
hedg adjac
hedg averag
hedg contour
hedg decreas
hedg did
hedg earli
hedg effect
hedg establish
hedg field
hedg forest
hedg grass
hedg hedg
hedg height
hedg import
hedg increas
hedg isol
hedg landscap
hedg locat
hedg manag
hedg mani
hedg observ
hedg plant
hedg plot
hedg present
hedg provid
hedg reduc
hedg signific
hedg site
hedg soil
hedg speci
hedg stand
hedg structur
hedg support
hedg tree
hedg use
hedg veget
hedg wide
hedgebank
hedgelay
hedgerow
hedgerow adjac
hedgerow ae
hedgerow age
hedgerow agricultur
hedgerow arabl
hedgerow attach
hedgerow best
hedgerow bird
hedgerow breed
hedgerow characterist
hedgerow communiti
hedgerow condit
hedgerow connect
hedgerow consid
hedgerow contain
hedgerow control
hedgerow corridor
hedgerow cut
hedgerow densiti
hedgerow develop
hedgerow differ
hedgerow dure
hedgerow effect
hedgerow farm
hedgerow field
hedgerow forest
hedgerow grass
hedgerow grassland
hedgerow greater
hedgerow habitat
hedgerow identifi
hedgerow import
hedgerow includ
hedgerow increas
hedgerow influenc
hedgerow landscap
hedgerow length
hedgerow longer
hedgerow lost
hedgerow manag
hedgerow margin
hedgerow network
hedgerow orchard
hedgerow pattern
hedgerow plant
hedgerow provid
hedgerow reduc
hedgerow remov
hedgerow sampl
hedgerow separ
hedgerow signific
hedgerow site
hedgerow small
hedgerow soil
hedgerow spatial
hedgerow speci
hedgerow structur
hedgerow studi
hedgerow surround
hedgerow tree
hedgerow type
hedgerow use
hedgerow vari
hedgerow veget
hedgerow wide
hedgerow width
hedgerow woodland
height
height mean
height structur
height tree
height width
held
help
help conserv
help improv
help mitig
help reduc
help restor
hemeroc
hemiptera
hemiptera anthocorida
hemiptera aphidida
hemitomon
henc
herb
